	3638: <"loc_des_60_05">Pegue a caixa e saia dai.</string>
	6622: <"loc_des_64_01">Mirem a arma, amigos.</string>
	6639: <"loc_des_intro_01d">Talvez nós vamos achar o que aconteceu com Jimmy Hoffa.</string>
	6647: <"loc_des_83_03">Não esqueça das caixas na esteira.</string>
	6654: <"loc_des_81_02">Ambas as caixas foram achadas, né? Ótimo! Hora de vazar dai. Volte para a entrada e eu vou arrumar a extração.</string>
	6677: <"loc_des_61_01">Chegue ao laboratório de armas. Ele se conecta a um depósito que esta uma das caixas.</string>
	6725: <"loc_des_10_03">Todo segundo conta amigos.</string>
	6732: <"loc_des_52_03">Você precisa passar por aquela porta, amigos.</string>
	6791: <"loc_des_72_03">Reative o painel de carregamento.</string>
	6819: <"loc_des_59_01">Bom, agora pegue a caixa e saia dai antes que qualquer merda que estiver no tanque acorde.</string>
	6830: <"loc_des_29_03">Bom trabalho, amigos. Uma caixa secreta a menos para a Murky. Peguem ela e vão para a próxima, ok?</string>
	6840: <"loc_des_82_01">...E não esqueça de tirar as caixas da esteira!</string>
	6895: <"loc_des_12_01">...Achei o laboratório de computador, hackeie um terminal e procure pela localização da caixa.</string>
	6914: <"loc_des_65_01">Bom, agora para poder ligá-lo. Essa coisa funciona a bateria, então de uma volta e veja se você consegue encontrar elas.</string>
	6923: <"loc_des_47_02">Volte até o computador principal e procure pelo segundo artefato.</string>
	6961: <"loc_des_03_03">Desculpa, amigos. Parece que não conseguimos te botar dentro de uma forma silenciosa. Todo lugar está em alerta e trancado.</string>
	6981: <"loc_des_01_02">Cuidado amigos... Acabem com eles, ok?</string>
	7050: <"loc_des_17_02">Você precisa reniciar o override.</string>
	7058: <"loc_des_92_02">Sua carona está pronta amigos, entrem nela!</string>
	7062: <"loc_des_34_05">Por acaso você esqueceu onde esta o computador principal ou algo do tipo?</string>
	7072: <"loc_des_18_02">Os policiais cortaram a energia para o laboratório. Ache a caixa de energia e ligue-a.</string>
	7129: <"loc_des_intro_05e">Eu me pergunto se é aqui que guardam o avião da Amelia Earhart...</string>
	7182: <"loc_des_56_02">Ah, eles acabarão com a sua mistura. Vocês precisam fazer um novo, amigos.</string>
	7204: <"loc_des_58_02">Rápido, bote a substância na porta.</string>
	7258: <"loc_des_05_03">O hacking precisa ser reniciado, ok?</string>
	7323: <"loc_des_04_02">...Veja se você pode abrir as portas por meio de caixas elétricas. Deve ter um par delas por ai.</string>
	7346: <"loc_des_92_03">Bile está esperando por vocês amigos, entrem no helicóptero, ok?</string>
	7421: <"loc_des_13_01">Vamo gangue, vocês tem que chegar no laboratório, ache a prateleira certa.</string>
	7422: <"loc_des_76_06">Eles estão indo pela arma!</string>
	7429: <"loc_des_32_03">Use a esteira na sala principal para carregar a caixa.</string>
	7452: <"loc_des_30_02">Vamo lá, peguem ela. Isso não vai abrir um portal pro Inferno. Provavelmente.</string>
	7673: <"loc_des_72_07">O processo de carregamento precisa ser iniciado novamente.</string>
	7688: <"loc_des_intro_03d">Ei, eu estava pensando numa coisa. Talvez nós deviamos ter trazido roupas de radiação?</string>
	7693: <"loc_des_101_02">Essa armas farão o Bile virar um queijo suiço fedorento. Tire-as do ar hackeando elas pelas caixas de controle.</string>
	7699: <"loc_des_55_02">Merda! Não funcionou. Você deve ter misturado algo errado. Espere um pouco e tente novamente, ok?</string>
	7797: <"loc_des_50_02">Você precisa ir até o laboratório biológico.</string>
	7810: <"loc_des_95_01">As armas precisarão de novas baterias.</string>
	7821: <"loc_des_intro_04c">Talvez eles tenham alienígenas.</string>
	7884: <"loc_des_17_03">O hacking precisa ser reniciado, certo?</string>
	7959: <"loc_des_48_01">Volte para o computador principal.</string>
	7972: <"loc_des_26_02">Ache uma ferramenta, então abra a caixa.</string>
	8028: <"loc_des_cnc_01">Amigos, tiveram um pouco de diversão no deserto? Lá tem uma base da Murky que precisa ser roubada.</string>
	8053: <"loc_des_89_01">Acendam o sinalizador quando você estiver pronto para fugir.</string>
	8056: <"loc_des_79_01">Pegue o artefato, e tenha certeza que os policiais não iram botar as mãos nele.</string>
	8063: <"loc_des_62_01">Cheguem ao laboratório de armas, amigos.</string>
	8069: <"loc_des_75_01">A Murky e os policiais estão tentando desligar o canhão.</string>
	8071: <"loc_des_36_02">Você precisa ir até a sala de arqueologia.</string>
	8073: <"loc_des_108_02">Porra! Não funcionou. Você deve ter feito algo errado. Espere um pouco e tente denovo, ok?</string>
	8159: <"loc_des_83_01">Peguem as caixas da esteira, amigos.</string>
	8175: <"loc_des_68_06">Aquele canhão não irá atirar sem um pouco de suco.</string>
	8223: <"loc_des_48_02">Volte para o computador central e procure, ok?</string>
	8268: <"loc_des_104_01">Use o guindaste para trazer a caixa até você.</string>
	8286: <"loc_des_26_03">Achou algo útil ai perto para abrir a caixa?</string>
	8293: <"loc_des_105_05">Você precisa que aquele hacking continue.</string>
	8345: <"loc_des_45_02">Não tenho certeza se são iguais aos outros.</string>
	8356: <"loc_des_intro_02a">Então, que tipo de porra a gente vai achar nesse lugar?</string>
	8429: <"loc_des_96_05">O canhão não atirará até que você consiga baterias novas.</string>
	8451: <"loc_des_88_03">Quando você tiver pronto para escapar, acenda o sinalizador e o Bile ira até você.</string>
	8504: <"loc_des_23_02">A energia foi cortada! Você precisa fazer ela funcionar novamente, ai você renicia o guindaste.</string>
	8508: <"loc_des_53_02">Eu acho que isso vai funcionar... não que eu conheça química, mas você já pode acrescentar o próximo ingrediente.</string>
	8536: <"loc_des_35_01">Vá para a ala de arqueologia. Deve ter um artefato lá em algum lugar.</string>
	8580: <"loc_des_62_06">Por quê você ainda não esta no laboratório ainda?</string>
	8588: <"loc_des_74_03">Ligue a alavanca de energia, rápido!</string>
	8621: <"loc_des_76_05">Impeça qualquer um de chegar ao canhão.</string>
	8640: <"loc_des_13_03">Você precisar ir para o laboratório de tecnologia e achar a estante certa.</string>
	8669: <"loc_des_48_03">Você precisa voltar e procurar no computador principal novamente.</string>
	8676: <"loc_des_35_02">Ok, amigos. Parece que eles estão mantendo uma das caixas na sala de arqueologia. Vá até lá agora, entendeu?</string>
	8692: <"loc_des_41_03">Os símbolos, amigos. Eles são a resposta.</string>
	8699: <"loc_des_end_01">Bom trabalho, amigos. Nós conseguimos o que viemos buscar, mas esse último... nós precisamos descobrir nosso próximo passo. Depois que vocês sairam de lá, a comunicação da Murkywater ficou totalmente parada, fora do ar. Nós fodemos bem os Kataru, mas não saberemos como eles revidarão, e Bain gostaria que nós continuassemos, independentemente do que acontecesse com ele. Duke terá as mãos cheias de trabalho para descobrir a próxima peça desse enigma e para que essas caixas servem. Até lá, nós nos deitamos... planejamos... e sobrevivemos.</string>
	8707: <"loc_des_50_05">Se apresse e vá achar o artefato no laboratório biológico.</string>
	8718: <"loc_des_74_02">Vocês precisam achar a alavanca de emergência de energia amigos.</string>
	8734: <"loc_des_66_04">Você tem que ligar essas baterias.</string>
	8767: <"loc_des_20_02">Certo amigos, essa é a estante certa. Vão até a sala principal e usem o guindaste.</string>
	8770: <"loc_des_47_03">Ainda temos mais uma caixa para pegar. Volte até o computador principal e procure por ela, ok?</string>
	8790: <"loc_des_108_01">Ah, você errou. Talvez teria sido uma boa idéia ter trazido roupas de radiação. Espere até parar de reagir, dai você tenta denovo.</string>
	8869: <"loc_des_intro_04b">Se eles tiveram algumas armas de raios aqui, eu trarei umas comigo.</string>
	8871: <"loc_des_39_02">Você tem que reniciar a drill!</string>
	8909: <"loc_des_27_02">Vocês tem que tirar todos os parafusos, amigos.</string>
	8917: <"loc_des_44_03">O artefato... isso é o porquê nós estamos aqui.</string>
	8922: <"loc_des_29_02">Heh, é quase a mesma coisa que o outro. Bom, foi por isso que viemos então pegue ela e continue trabalhando.</string>
	8960: <"loc_des_40_01">Isso é que nem um doce para o Duke, né? Mas apenas precisamos o que está dentro. Esses símbolos provavelmente são a resposta para abrir isso. Procure por ai por pistas.</string>
	8963: <"loc_des_30_03">A caixa, amigos.</string>
	8986: <"loc_des_43_03">Um prêmio a menos para a Murky guardar. Peguem ela e movam-se, amigos.</string>
	8998: <"loc_des_41_04">Você precisa abrir essa caralha de arca.</string>
	8999: <"loc_des_60_06">Você precisa pegar essa caixa..</string>
	9066: <"loc_des_intro_05b">Eles pegaram o Top deles. Mano.</string>
	9149: <"loc_des_11_01">Ok, parece que um dos artefatos está sendo guardado no armazém de arquivos. Não tem nenhuma chance de você chegar lá andando, mas tem um sistema que traz com um guindaste até salão principal que você pode usar. Você apenas precisa achar a estante certa primeiro.</string>
	9153: <"loc_des_47_01">Ok, você precisa voltar para o computador principal e procurar pela segunda caixa.</string>
	9227: <"loc_des_04_03">...Ache as caixas na parede que controlam as portas emergência, sim?</string>
	9241: <"loc_des_intro_01b">Fortuna e glória, garoto.</string>
	9270: <"loc_des_01_03">Aqui vamos nós, amigos. Isso é pelo Bain, certo?</string>
	9296: <"loc_des_32_04">Mova a caixa para a entrada com a esteira do salão principal, ok?</string>
	9316: <"loc_des_46_01">Isso é só... estranho, eh?</string>
	9385: <"loc_des_80_01">Você precisar checar o computador principal denovo para achar o próximo artefato.</string>
	9400: <"loc_des_77_02">Essa caixa precisa ser aberta com uma ferramenta.</string>
	9427: <"loc_des_46_03">Alguém está sofrendo uma piada de mau gosto, né?</string>
	9451: <"loc_des_intro_05f">Você provavelmente não quer saber a resposta disso.</string>
	9506: <"loc_des_85_02">Eles tiveram acesso ao painel de controle e pararam o shutdown. Vocês precisam ir até lá e reniciá-lo, amigos.</string>
	9545: <"loc_des_105_04">Você precisa refazer o hacking nessas caixas de segurança.</string>
	9557: <"loc_des_46_02">Quando vocês foram perder isso?</string>
	9579: <"loc_des_intro_01e">Considerando tudo, prefiro voltar para Vegas.</string>
	9612: <"loc_des_intro_03a">Que tipo de merda nós vamos achar nesse lugar?</string>
	9651: <"loc_des_44_05">Rápido amigos, peguem a caixa.</string>
	9673: <"loc_des_38_01">Furem esse cofre, amigos.</string>
	9709: <"loc_des_91_03">Ambas as caixas precisam estarem seguras no helicóptero antes de vocês embarcarem.</string>
	9710: <"loc_des_04a_03">Já acharam as caixas de eletricidade?</string>
	9756: <"loc_des_73_02">Os policiais derrubaram a energia de emergência. Achem a alavanca e liguem-a, amigos!</string>
	9799: <"loc_des_20_01">Ai vai você, esse é o local. Agora saia da sala de controle e pegue a caixa com o guindaste.</string>
	9877: <"loc_des_102_06">Olhe para a fórmula, dai prepare o próximo ingrediente.</string>
	9979: <"loc_des_66_02">Achou alguma célula de energia?</string>
	10017: <"loc_des_72_06">Renicie o ciclo de recarga.</string>
	10022: <"loc_des_22_04">O guindaste não está se movendo. A droga da Murky parou ele. Vá até lá e conserte isso, ok?</string>
	10026: <"loc_des_02_02">A porra dos policiais estão ajudando a Murky! Garrett deve ter afundado com esses filhos da puta após nossa pequena visita.</string>
	10047: <"loc_des_42_01">Vocês fizeram algo errado, amigos. Ou os símbolos ou a ordem.</string>
	10055: <"loc_des_42_03">Tente outra combinação de símbolos e ordem, certo?</string>
	10056: <"loc_des_76_04">Policiais ainda estão indo atrás da arma.</string>
	10068: <"loc_des_38_04">Você precisa fazer um grande furo nesse cofre.</string>
	10106: <"loc_des_108_03">Não, algo está errado... agora você tem que esperar a reação acabar e recomeçar, ok?
</string>
	10111: <"loc_des_63_02">Ach, essa porta vai ser difícil de quebrar. Talvez um canhão caralhudo consiga fazer isso. Veja se você pode mirá-lo.</string>
	10122: <"loc_des_64_05">Eu sei que ai tem um monte de coisa engraçada amigos, mas vocês precisam mirar o canhão!</string>
	10165: <"loc_des_04a_04">Vamos amigos, vocês precisam abrir essas portas.</string>
	10237: <"loc_des_50_01">Chegue ao laboratório biológico.</string>
	10298: <"loc_des_60_04">Você está esperando pelo o que? Pegue essa caixa!</string>
	10299: <"loc_des_54_02">Ótimo amigos, agora só mais um ingrediente, certo?</string>
	10342: <"loc_des_10_05">Achem o terminal, pessoal..</string>
	10347: <"loc_des_intro_05c">Eu sempre me perguntei como os homens do Alto Escalão da Murky se parecem.</string>
	10360: <"loc_des_107_01">Esse foi o último ingrediente, agora misture todos juntos... cuidadosamente.</string>
	10559: <"loc_des_31_02">Isso parece pesado, amigos. Usem a esteira no salão principal para mover isso para o ponto de extração.</string>
	10633: <"loc_des_52_02">Acharam alguma boa fórmula, amigos?</string>
	10644: <"loc_des_59_02">Aqui vamos nós! Agora pegue esse artefato e mova-se!</string>
	10669: <"loc_des_98_06">Esse canhão não irá atirar sem um pouco de suco.</string>
	10744: <"loc_des_50_04">Talvez seja perigoso, mas vocês tem que ir até o laboratório biológico amigos.</string>
	10823: <"loc_des_75_02">Impeça esses babacas de desligarem o canhão!</string>
	10825: <"loc_des_74_04">Você precisa achar a alavanca e puxá-la.</string>
	10878: <"loc_des_67_03">Certo, agora ache o painel de controle e carregue a arma.</string>
	10912: <"loc_des_65_02">Veja se você consegue achar algumas baterias, então prepare elas, certo?</string>
	10930: <"loc_des_21_02">Usem o guindaste para pegar o artefato, amigos.</string>
	10960: <"loc_des_99_02">A arma está pronta, aperte o botão e curta o show.</string>
	10974: <"loc_des_94_01">Ok, agora você precisa mirar a arma na segunda fechadura.</string>
	11123: <"loc_des_45_01">Eu me pergunto o porquê isso esta no lado.</string>
	11242: <"loc_des_23_03">A porra dos policiais cortaram a energia. Ligue ela e reative o guindaste</string>
	11246: <"loc_des_67_01">Hora para carregar ela. Deve ter um painel de controle por ai, né?</string>
	11282: <"loc_des_44_01">Peguem a caixa, amigos.</string>
	11292: <"loc_des_89_03">Prontos para irem? Acendam o sinalizador!</string>
	11332: <"loc_des_21_01">Saiam dai e usem o guindaste, amigos.</string>
	11339: <"loc_des_05_01">Merda, você terá que reniciar o hack.</string>
	11373: <"loc_des_76_07">Eles não deixaram aquela arma sozinha se vocês não tiveram lá, amigos.</string>
	11410: <"loc_des_58_04">Você precisa deixar a mistura trabalhar na porta.</string>
	11471: <"loc_des_27_01">Tire todos os parafusos, ok?</string>
	11478: <"loc_des_90_01">Proteja as caixas no helicóptero.</string>
	11528: <"loc_des_69_03">Está carregado e pronto. Apertem o botão de atirar e se protejam, amigos!</string>
	11564: <"loc_des_64_03">Mova aquele tambor. Depressa.</string>
	11590: <"loc_des_brf_01">Queridos amigos, isso vai ser difícil. A Kataru intensificou a sua perseguição pelas coisas do Bain, e nós temos que levar embora os brinquedos dele, certo? O armazém que iremos invadir é o mais importante da Murky, e eles tem trabalhado em alguns projetos bem estranhos. Eles só me deixaram perto desse lugar uma vez, e eu não vi muita coisa, então não podemos saber o que esperar. Eu usei todos os meus últimos favores de contatos na Murky, e nos deixaram entrar, mas estamos indo cegos. Uma vez lá, não haverá como voltar. Nós estamos declarando uma guerra aberta contra a Murky, mas nós devemos isso ao Bain. Terá um nível de segurança que nunca vimos antes, então, não banca o fortão quando chegar lá, tá?</string>
	11625: <"loc_des_30_04">É melhor você estar trazendo a caixa, né?</string>
	11776: <"loc_des_91_01">Você botou as duas caixas dentro do helicóptero?</string>
	11895: <"loc_des_04a_01">Continuem indo amigos, sem tempo para perder. Abram aquelas portas.</string>
	11909: <"loc_des_intro_01c">Certo. Eu vou pegar o primeiro, mas você pode manter a glória.</string>
	11984: <"loc_des_12_02">...Você pode achar o número da pratileira que está a caixa hackeando o terminal no laboratório de computadores.</string>
	11997: <"loc_des_78_03">Parece que tem um número infinito de parafusos, né? Mas você precisa tirar todos eles.</string>
	12009: <"loc_des_27_03">Tirem os parafusos daquela coisa.</string>
	12015: <"loc_des_38_03">Ainda estou esperando pela drill.</string>
	12055: <"loc_des_66_06">O canhão não atira sem baterias.</string>
	12237: <"loc_des_68_02">Você precisa carregar o canhão.</string>
	12398: <"loc_des_60_03">Vamos lá amigos, isso não vai se carregar sozinho, né?</string>
	12430: <"loc_des_86_04">O Bile não pode pousar até ter aquelas armas funcionando.</string>
	12432: <"loc_des_105_01">Vamo lá, reniciem o hack.</string>
	12449: <"loc_des_98_04">Nós precisamos do canhão carregado.</string>
	12472: <"loc_des_36_03">Não acredite nas supertições do Duke... vá para o laboratório de arqueologia.</string>
	12475: <"loc_des_13_02">Já acharam a prateleira certa, amigos? Vão para o laboratório de computadores.</string>
	12484: <"loc_des_51_01">Você precisa abrir aquela porta. Eu acho que o artefato está do outro lado. O que acha de cozinhar um coquetel divertido e queimar para arrombar a porta? Talvez haja um recipiente adequado para substâncias voláteis? Heh... o que pode dar errado, né?</string>
	12485: <"loc_des_63_03">Whoa, parece algo como uma arma de energia. Nós podemos usar ela para explodir a porta. Apenas mirem para o ponto certo, amigos.</string>
	12510: <"loc_des_60_07">Eu estou indo beber algo. Me avisem quando vocês pegaram a caixa, tá?</string>
	12534: <"loc_des_102_03">Depressa com a mistura, você precisa botar ela na porta.</string>
	12544: <"loc_des_100_01">É hora de voltar para a entrada para eu poder tirar você dai.</string>
	12552: <"loc_des_76_01">Mantenham a porra desses Murkies longe da arma.</string>
	12573: <"loc_des_54_01">Hah... tive certeza que você ia explodir o laboratório com aquilo, mas não se preocupe. Apenas mais um composto para adicionar.</string>
	12587: <"loc_des_96_06">O canhão não pode atirar sem mais energia, troque as baterias.</string>
	12597: <"loc_des_101_03">O piloto não pode pousar até que você cuide das torretas. Ache as caixas de controle e desconecte elas.</string>
	12599: <"loc_des_37_03">Esse cofre precisa ser arrombado para nós conseguirmos o artefato. Ponham uma drill nela, amigos.</string>
	12608: <"loc_des_25_01">Certo, agora você precisa abrir ela. Veja se você consigua achar alguma coisa para nós ajudar, tá?</string>
	12611: <"loc_des_intro_04e">Se alguém achar o que realmente aconteceu com o Elvis, me avise!</string>
	12615: <"loc_des_58_01">Vamos lá amigos, joguem a mistura na porta.</string>
	12635: <"loc_des_74_05">Puxe a alavanca!</string>
	12646: <"loc_des_44_02">Não esqueça a caixa, né?</string>
	12670: <"loc_des_100_03">Vocês precisam ir de volta para a entrada para eu poder tirar vocês dai.</string>
	12677: <"loc_des_87_02">Mas que porra.... Eu não consigo acreditar nisso... é isso...? Ach! Bastardos! Saiam dai, amigos!</string>
	12702: <"loc_des_55_03">Não, essa é a mistura errada... agora você precisar esperar até a reação acabar e começar denovo, tá?</string>
	12709: <"loc_des_36_01">Chegue ao laboratório de arqueologia.</string>
	12746: <"loc_des_08_03">A instalação muda com frequência, então o pouco que vi não pode mais ser considerado.</string>
	12814: <"loc_des_86_02">Volte para aquela caixa de controle e desligue ela.</string>
	12856: <"loc_des_16_03">Já conectaram o terminal?</string>
	12860: <"loc_des_17_04">O hacking foi interrompido, renicie ele, certo?</string>
	12880: <"loc_des_13_04">Vocês já acharam a prateleira correta, amigos? Procure um terminal no laboratório de TI.</string>
	12899: <"loc_des_15_03">Não consegue ter uma resposta desse terminal? É essa porcaria de sistema operacional da Murkywater. Veja se outro terminal funciona melhor, ok?</string>
	12916: <"loc_des_64_04">Mire o canhão para a direção certa.</string>
	12925: <"loc_des_10_01">Precisam se apressar. amigos. A Murky está indo te foder logo logo.</string>
	12927: <"loc_des_34_02">Você ainda precisa achar o segundo artefato.</string>
	12981: <"loc_des_07_01">Vamos amigos, não fiquem parados.</string>
	12989: <"loc_des_06_02">As portas estão abertas, depressa, entre e ache o que viemos pegar.</string>
	13005: <"loc_des_88_02">Quando a costa estiver vazia, acenda o sinalizador para o Bile vir!</string>
	13035: <"loc_des_49_03">Por quê a Murky tem um artefato no laboratório biológico? Não importa, vão lá e achem ele, ok? E espero que vocês não precisem se roupas de radiação.</string>
	13101: <"loc_des_24_01">Liguem a energia de volta amigos.</string>
	13148: <"loc_des_39_05">Liguem a drill de novo, amigos.</string>
